company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster
Hormel Foods,HRL,-0.040291878172588835,0.014066638013870208,3089452.680327869,0.4628099173553719,0
Nordson Corporation,NDSN,0.04586036981021624,0.021245718118361144,392157.37704918033,0.47107438016528924,0
BrownForman,BF.B,-0.27622377622377625,0.02744103171475008,3866271.401639344,0.45454545454545453,0
Ball Corporation,BALL,0.03030859662013241,0.017966339144351296,2755462.7213114756,0.48760330578512395,0
Alexandria Real Estate Equities,ARE,-0.2550769230769231,0.021432300350453945,1597085.4672131147,0.49586776859504134,0
Regency Centers,REG,-0.013571527489267265,0.014458090948780415,1084538.7704918033,0.48760330578512395,0
Healthpeak Properties,DOC,-0.13144841269841268,0.015274900111089616,5683937.336065574,0.4628099173553719,0
Avery Dennison,AVY,-0.042769079701052926,0.016322959659403367,782725.155737705,0.48760330578512395,0
IDEX Corporation,IEX,-0.14796661166650493,0.01952086722714808,644826.4918032787,0.4462809917355372,0
Wynn Resorts,WYNN,0.11778042959427215,0.028543161309099615,2600265.1885245903,0.4793388429752066,0
"UDR, Inc.",UDR,-0.03997178462261941,0.017122595294062962,2254461.3852459015,0.4793388429752066,0
Baxter International,BAX,0.034859876965140035,0.02367845711234646,4472474.122950819,0.5041322314049587,0
Viatris,VTRS,-0.2809983896940419,0.025455886071453226,13984021.663934426,0.5041322314049587,0
Albemarle Corporation,ALB,-0.2646955297430482,0.03740274552418405,3128726.5,0.4793388429752066,0
Host Hotels & Resorts,HST,-0.10697674418604652,0.022241575829752475,9901043.606557377,0.4628099173553719,0
Assurant,AIZ,-0.06584362139917688,0.01810287184901574,511493.74590163934,0.512396694214876,0
"BXP, Inc.",BXP,-0.08453188602442341,0.022290950019949195,1527893.0327868853,0.512396694214876,0
Camden Property Trust,CPT,-0.017352633414719265,0.015807551358502467,1007668.5655737704,0.49586776859504134,0
Generac,GNRC,-0.08783439490445855,0.027147931910933707,888108.0901639344,0.47107438016528924,0
Skyworks Solutions,SWKS,-0.15749010740531377,0.04044431215947603,3759950.9918032787,0.5371900826446281,0
Norwegian Cruise Line Holdings,NCLH,-0.21759259259259256,0.03720545845595516,14023779.836065574,0.5537190082644629,0
J.M. Smucker Company (The),SJM,-0.11825446709167642,0.02141012393387561,1489482.3770491802,0.4462809917355372,0
FactSet,FDS,-0.06134183962561124,0.01515292013572902,325877.7049180328,0.4628099173553719,0
Pool Corporation,POOL,-0.12434283654279443,0.020585470933833436,509122.2213114754,0.47107438016528924,0
Dayforce,DAY,-0.22412102535369094,0.02724484710070965,1971083.237704918,0.5041322314049587,0
Akamai Technologies,AKAM,-0.16411653741354015,0.03119702399896658,2584276.5409836066,0.5289256198347108,0
Stanley Black & Decker,SWK,-0.15185277916875306,0.03320958653246846,2497829.393442623,0.47107438016528924,0
Revvity,RVTY,-0.13642857142857145,0.02544618313899159,1138662.4016393442,0.4462809917355372,0
Invesco,IVZ,-0.10651558073654388,0.028621626454111534,5246034.221311475,0.5289256198347108,0
AES Corporation,AES,-0.1938697318007664,0.03252330685444175,15938901.745901639,0.47107438016528924,0
Moderna,MRNA,-0.3430952380952381,0.04751133278356583,11253312.614754098,0.49586776859504134,0
Interpublic Group of Companies (The),IPG,-0.1297547102737291,0.020766485673556073,6984227.713114754,0.47107438016528924,0
A. O. Smith,AOS,-0.02613990791623355,0.01676963361533521,1581322.6803278688,0.47107438016528924,0
Align Technology,ALGN,-0.09189889203319102,0.026166189568277747,1055033.950819672,0.49586776859504134,0
Molson Coors Beverage Company,TAP,-0.15284990522629427,0.01804845364626834,2460476.106557377,0.45454545454545453,0
Bio-Techne,TECH,-0.2802182428651371,0.028590536229955808,2019878.5327868853,0.5041322314049587,0
Campbell Soup Company,CPB,-0.27075898167975265,0.017310964017403986,3741144.081967213,0.4380165289256198,0
Lamb Weston,LW,-0.21486977589339795,0.02323753804689687,2344274.4590163934,0.47107438016528924,0
MGM Resorts,MGM,0.021687462863933638,0.03215723714236258,5553779.057377049,0.4628099173553719,0
Conagra Brands,CAG,-0.26020961329960257,0.01645877876415315,6576289.827868853,0.4380165289256198,0
Federal Realty Investment Trust,FRT,-0.12813217072051408,0.018179397974480083,779009.844262295,0.4793388429752066,0
Charles River Laboratories,CRL,-0.1692400350416119,0.04133940259745229,1381320.6229508198,0.512396694214876,0
APA Corporation,APA,-0.2177074422583405,0.039678756066765616,8392475.795081967,0.5537190082644629,0
EPAM Systems,EPAM,-0.22839937161808344,0.029379870334854192,767005.0409836066,0.49586776859504134,0
Mohawk Industries,MHK,-0.09558316080055207,0.023802790495552457,792303.762295082,0.48760330578512395,0
Eastman Chemical Company,EMN,-0.15657478535924085,0.024757687023688194,1507633.5327868853,0.4628099173553719,0
